region,okato,year,VDS_r,AIusage_r,BDusage_r
Астраханская область,12,2023,0.07276007453150989,0.518829773789966,0.22657844663553017
Астраханская область,12,2024,0.06908803310428786,0.4618077769419507,0.16000534080083142
Белгородская область,14,2021,0.16971834624554538,0.5003450049555257,0.3435857429881437
Белгородская область,14,2022,0.13508913290173755,0.5254393916414184,0.4833487826427009
Белгородская область,14,2023,0.12548525829509366,0.3826792348394735,0.2282101167315175
Белгородская область,14,2024,0.11701880655087325,0.39833706763758575,0.15176825761932147
Брянская область,15,2021,0.060771741605646024,0.4234241092257447,0.2826933548452153
Брянская область,15,2022,0.058001166041815766,0.24685418208734272,0.2691489361702128
Брянская область,15,2023,0.059737812078167724,0.2425173026738777,0.1214474297251126
Брянская область,15,2024,0.055938614626956866,0.2971199133265453,0.059192395625218844
Владимирская область,17,2021,0.09157357916745683,0.592516920896341,0.3522549785995681
Владимирская область,17,2022,0.08229276482844505,0.8225651804447386,0.5188903128184541
Владимирская область,17,2023,0.08271457521532477,0.45765965416068427,0.25464864778261986
Владимирская область,17,2024,0.07488770643349886,0.522267972182273,0.15705161394709163
Волгоградская область,18,2021,0.13480673731466414,0.3380648093718775,0.36968332751150895
Волгоградская область,18,2022,0.1282350057122972,0.6341839155617239,0.491121866364382
Волгоградская область,18,2023,0.1293156469437279,0.3044801179098354,0.23115523803581456
Волгоградская область,18,2024,0.1172576493221137,0.30605146886884177,0.1363470965785617
Вологодская область,19,2021,0.12867893221948043,0.471458903092207,0.3398505615155538
Вологодская область,19,2022,0.10793497747910415,0.7759379274140582,0.4586682069078852
Вологодская область,19,2023,0.10146148782618962,0.3482934216191339,0.2181094921660672
Вологодская область,19,2024,0.09347006026299741,0.4408998130147448,0.1552678623761796
Воронежская область,20,2021,0.1632942387388762,0.43368191423015284,0.31054212636288
Воронежская область,20,2022,0.14647992236966223,0.7459220878909998,0.4380089309167324
Воронежская область,20,2023,0.14301313570870658,0.5133519330410523,0.20860611020185488
Воронежская область,20,2024,0.13267290320263284,0.5449693976295741,0.17442090013619876
Нижегородская область,22,2021,0.2468725236766801,0.3635758826926011,0.35301345746663393
Нижегородская область,22,2022,0.2438822975691002,0.49764682598082755,0.4260610165253089
Нижегородская область,22,2023,0.25639824734053757,0.38826600935660743,0.2200132204090064
Нижегородская область,22,2024,0.23792459381472925,0.4265263214153123,0.14480743681489872
Ивановская область,24,2021,0.03896318206045148,0.49372784292337063,0.33624020156774914
Ивановская область,24,2022,0.03845799541046467,0.6710959458745798,0.4465771909110624
Ивановская область,24,2023,0.04076534268826603,0.39155210001122526,0.21272168174870812
Ивановская область,24,2024,0.03883858067760436,0.4745063949184928,0.13680992436558986
Иркутская область,25,2021,0.24810263744756486,0.28941524796447077,0.5203794965621035
Иркутская область,25,2022,0.24809140485304512,0.14421238912945566,0.5850736161474944
Иркутская область,25,2023,0.2380949745302611,0.15430037197541602,0.2581400234072563
Иркутская область,25,2024,0.23080810659555973,0.14418450559459062,0.11700565324821413
Республика Ингушетия,26,2021,0.008975192182688458,0.345325011775789,0.4963128626692456
Республика Ингушетия,26,2022,0.008823795225088586,0.5906735751295337,0.651063829787234
Республика Ингушетия,26,2023,0.008813165627780433,0.5958549222797928,0.3394946808510638
Республика Ингушетия,26,2024,0.008388448954889074,0.5881664716697309,0.19198036006546645
Калининградская область,27,2021,0.08653117890768054,0.35514792831803305,0.444391142180206
Калининградская область,27,2022,0.0780212524813475,0.6214711152002325,0.5165738715450388
Калининградская область,27,2023,0.07549158756416036,0.4496272602305171,0.2412977637863656
Калининградская область,27,2024,0.07480863418162942,0.37688987613341973,0.1553747298869681
Тверская область,28,2021,0.07118468955653803,0.4192304237390176,0.31300375930998214
Тверская область,28,2022,0.0657813469968856,0.3520764783347653,0.40797564207250375
Тверская область,28,2023,0.06964404713617194,0.3311797933302569,0.2279090407541558
Тверская область,28,2024,0.06377716093035903,0.4252565197965087,0.1411171822190749
Калужская область,29,2021,0.0844358097499914,0.6108261514828027,0.34175398267935425
Калужская область,29,2022,0.07285330771554074,0.7231210950582022,0.5014093883307201
Калужская область,29,2023,0.07479010035335908,0.4337562141156701,0.2576898540828062
Калужская область,29,2024,0.0705265115862304,0.3741310177832166,0.1468392494386828
Краснодарский край,3,2021,0.4133420124492546,0.4775978866876179,0.45021602945662736
Краснодарский край,3,2022,0.45355947437016997,0.5412392017754329,0.6023884180268777
Краснодарский край,3,2023,0.4466642008648138,0.42711172124307095,0.29562754813005565
