region,okato,year,VDS_r,ITcosts_r,skvozcosts_r,trainingcosts_r
Архангельская область,11,2022,0.13152209384326524,0.2442852337857289,0.009461605073062483,0.1500320458471875
Архангельская область,11,2023,0.12318784758956508,0.2550494028693018,0.04879951436459563,0.13623760874538332
Архангельская область,11,2024,0.1168741264359452,0.2298701466441849,0.021714099873760363,0.17735886489822766
Архангельская область (кроме Ненецкого автономного округа),11001,2020,0.08109130557605386,0.2714148322432043,0.07417219790184881,0.12521955176512692
Архангельская область (кроме Ненецкого автономного округа),11001,2021,0.08853570640578923,0.31268903409857296,0.02461131946428612,0.13966459323181982
Архангельская область (кроме Ненецкого автономного округа),11001,2024,0.0682268776538291,0.33546160860185975,0.025488510679678847,0.1968673419040012
Ненецкий автономный округ (Архангельская область),111,2020,0.03326132852135412,0.3416116595998307,0.0006677615043613721,0.008906402568368183
Ненецкий автономный округ (Архангельская область),111,2021,0.053264440355677,0.10516243027719784,0.0012212418152655923,0.2206644096263148
Астраханская область,12,2021,0.08718175351745205,0.18008145152129823,0.030737815588459092,0.07825889238008561
Астраханская область,12,2022,0.08453594180146186,0.1731478721784642,0.024030596839128417,0.1594859371167536
Астраханская область,12,2023,0.07643953742458641,0.1888502892470342,0.030413045929238495,0.21234069994176064
Белгородская область,14,2020,0.1454561963840974,0.1853482955681828,0.8375029591414055,0.3520294267345373
Белгородская область,14,2021,0.17830097018189608,0.20473925131786003,0.03230674796155058,0.0881006091840786
Белгородская область,14,2022,0.14192056421857285,0.28147740749326233,0.021277387958365448,0.08181407191605056
Белгородская область,14,2024,0.12293642495998545,0.403653365223281,0.5960313714250476,0.06654144138779161
Брянская область,15,2020,0.060850691241582884,0.3802484186197191,0.01967091590372111,0.3503240701516004
Брянская область,15,2021,0.06384495682189449,0.5390157180219721,0.018329710819853063,0.1814836914299773
Брянская область,15,2022,0.060934273787789955,0.441802609185102,0.022125233544799394,0.08573226035411159
Брянская область,15,2023,0.06275874167823305,0.4337042066734468,0.015934479474753283,0.08768495158223426
Брянская область,15,2024,0.05876741954689768,0.5480454804807339,0.01523856896570309,0.06820657268910385
Владимирская область,17,2020,0.08115553223872336,0.42665341608003765,0.7039709257116974,0.3542045586942947
Владимирская область,17,2021,0.09620443735035968,0.3614347481415065,0.5405609320332649,0.1224636404226833
Владимирская область,17,2022,0.08645429402566718,0.33328047750762124,0.5178584913289025,0.10388613720993495
Владимирская область,17,2023,0.08689743528220903,0.3343955254718793,0.536253788270002,0.10517976438927741
Волгоградская область,18,2020,0.1440122422977585,0.3602495144230497,1.0,0.160386478383705
Волгоградская область,18,2021,0.14162388794129266,0.32466314467536317,0.06883645581243758,0.21141579018156745
Волгоградская область,18,2022,0.1347198251431448,0.35648590441476014,0.03690460032090593,0.15353564369561437
Волгоградская область,18,2023,0.1358551141925908,0.30133843559286805,0.009005442977995918,0.9433774433962061
Волгоградская область,18,2024,0.1231873459639616,0.3220787593264341,0.15953852968378723,0.19489423187112706
Вологодская область,19,2020,0.0919471652753436,0.37894401253786136,0.10151390616632049,0.0919680794454515
Вологодская область,19,2022,0.11339322840939182,0.29268631057184197,0.025564924008347336,0.2763292517427999
Вологодская область,19,2023,0.10659237563707452,0.3159535535884381,0.04690129226172863,0.16093208568607156
Воронежская область,20,2020,0.15930482370168805,0.19022024938615864,0.3465008419004876,0.7436805148013893
Воронежская область,20,2021,0.1715519968014064,0.26552484438089174,0.2723882052940166,0.7124483327711362
Воронежская область,20,2022,0.15388738370625685,0.2998959499698275,0.2284355691694896,0.25443411654610115
Воронежская область,20,2023,0.15024528231453255,0.2840459423789804,0.1484428997483215,0.2692113083506708
Воронежская область,20,2024,0.13938214625102213,0.3425204647020913,0.049513800836164516,0.21087150047090342
Нижегородская область,22,2021,0.2593568194396692,0.6031269269830052,0.4843219507827396,0.26599862276920117
Нижегородская область,22,2022,0.2562153781763106,0.5418850272953496,0.1303412008628081,0.2816501697547302
Нижегородская область,22,2024,0.2499563944956436,0.707060555545015,0.2782043786125697,0.39940836725850404
