sector,okved2,year,AIusage_s
"Выращивание и разведение сельскохозяйственной птицы: кур, индеек, уток, гусей и цесарок",01.47.1,2022.0,3.0
"Выращивание и разведение сельскохозяйственной птицы: кур, индеек, уток, гусей и цесарок",01.47.1,2023.0,2.0
"Выращивание и разведение сельскохозяйственной птицы: кур, индеек, уток, гусей и цесарок",01.47.1,2025.0,1.0
Выращивание сельскохозяйственной птицы на мясо,01.47.11,2021.0,3.0
Выращивание сельскохозяйственной птицы на мясо,01.47.11,2022.0,3.0
Выращивание сельскохозяйственной птицы на мясо,01.47.11,2023.0,2.0
Выращивание сельскохозяйственной птицы на мясо,01.47.11,2025.0,1.0
Разведение племенной сельскохозяйственной птицы,01.47.12,2021.0,1.0
Производство яиц сельскохозяйственной птицы,01.47.2,2022.0,8.0
Производство яиц сельскохозяйственной птицы,01.47.2,2023.0,4.0
Производство яиц сельскохозяйственной птицы,01.47.2,2024.0,5.0
Производство яиц сельскохозяйственной птицы,01.47.2,2025.0,7.0
Разведение прочих животных,01.49,2021.0,5.0
Разведение прочих животных,01.49,2022.0,1.0
Разведение прочих животных,01.49,2023.0,1.0
